w and h;memory;operations
2;8;4
3;30;15
4;64;32
5;120;65
6;192;108
7;280;161
8;384;192
9;522;333
10;680;420
11;858;550
12;1056;672
13;1274;832
14;1512;980
15;1770;1245
16;2048;1408
17;2380;1717
18;2736;1944
19;3116;2356
20;3520;2640
21;3948;3045
22;4400;3300
23;4876;3887
24;5376;4128
25;5900;4875
26;6448;5148
27;7020;5859
28;7616;6216
29;8236;7134
30;8880;7440
31;9548;8308
32;10240;8576
33;11022;9801
34;11832;10676
35;12670;11445
36;13536;12384
37;14430;13838
38;15352;13832
39;16302;15639
40;17280;16480
41;18286;17958
42;19320;18396
43;20382;20339
44;21472;21032
45;22590;22995
46;23736;23920
47;24910;25380
48;26112;25728
49;27342;28420
50;28600;29200
51;29886;31824
52;31200;32968
53;32542;35351
54;33912;36612
55;35310;39050
56;36736;39536
57;38190;43149
58;39672;44080
59;41182;46433
60;42720;47400
61;44286;51301
62;45880;51708
63;47502;54432
64;49152;56832
65;50960;59865
66;52800;61644
67;54672;65995
68;56576;64736
69;58512;70587
70;60480;71820
71;62480;76396
72;64512;77760
73;66576;83512
74;68672;84656
75;70800;87525
76;72960;91048
77;75152;94864
78;77376;95628
79;79632;101989
80;81920;101120
81;84240;108540
82;86592;110044
83;88976;114706
84;91392;115752
85;93840;124100
86;96320;125388
87;98832;129630
88;101376;131120
89;103952;139552
90;106560;141660
91;109200;149149
92;111872;149224
93;114576;155589
94;117312;156980
95;120080;164255
96;122880;167040
97;125712;174309
98;128576;174048
99;131472;182952
100;134400;188000
101;137360;193920
102;140352;194616
103;143376;204764
104;146432;204048
105;149520;217035
106;152640;220904
107;155792;224914
108;158976;225720
109;162192;238710
110;165440;237380
111;168720;247641
112;172032;249312
113;175376;261369
114;178752;262428
115;182160;273700
116;185600;275616
117;189072;284661
118;192576;290044
119;196112;294882
120;199680;298320
121;203280;314842
122;206912;313540
123;210576;325827
124;214272;326120
125;218000;339375
126;221760;340956
127;225552;354584
128;229376;352256
129;233490;368811
130;237640;371280
131;241826;382913
132;246048;388080
133;250306;402857
134;254600;404680
135;258930;410130
136;263296;418608
137;267698;438948
138;272136;434424
139;276610;451333
140;281120;448840
141;285666;473901
142;290248;468316
143;294866;486915
144;299520;490752
145;304210;508515
146;308936;509248
147;313698;526260
148;318496;531912
149;323330;543850
150;328200;545400
151;333106;563230
152;338048;565744
153;343026;587979
154;348040;591360
155;353090;603880
156;358176;602160
157;363298;631297
158;368456;622520
159;373650;639975
160;378880;648320
161;384146;671048
162;389448;669708
163;394786;691609
164;400160;690768
165;405570;714450
166;411016;720108
167;416498;734967
168;422016;733824
169;427570;772330
170;433160;764320
171;438786;789507
172;444448;781912
173;450146;814138
174;455880;808056
175;461650;833525
176;467456;840224
177;473298;867123
178;479176;864368
179;485090;884439
180;491040;887040
181;497026;922376
182;503048;917644
183;509106;943731
184;515200;938768
185;521330;972360
186;527496;973524
187;533698;998019
188;539936;996776
189;546210;1026270
190;552520;1030560
191;558866;1048208
192;565248;1041408
193;571666;1088134
194;578120;1080968
195;584610;1105455
196;591136;1122296
197;597698;1143388
198;604296;1142460
199;610930;1175493
200;617600;1150800
201;624306;1216452
202;631048;1202304
203;637826;1234443
204;644640;1246032
205;651490;1275715
206;658376;1280496
207;665298;1296027
208;672256;1303744
209;679250;1340735
210;686280;1340220
211;693346;1382683
212;700448;1360192
213;707586;1410486
214;714760;1395280
215;721970;1426740
216;729216;1442448
217;736498;1490356
218;743816;1469756
219;751170;1504092
220;758560;1514040
221;765986;1543906
222;773448;1549560
223;780946;1584415
224;788480;1580096
225;796050;1622250
226;803656;1633528
227;811298;1653695
228;818976;1644336
229;826690;1701470
230;834440;1695560
231;842226;1737582
232;850048;1745104
233;857906;1780586
234;865800;1778400
235;873730;1821015
236;881696;1812008
237;889698;1851918
238;897736;1850688
239;905810;1889295
240;913920;1892160
241;922066;1952823
242;930248;1946648
243;938466;1975590
244;946720;1987136
245;955010;2035460
246;963336;2036880
247;971698;2065661
248;980096;2063360
249;988530;2128203
250;997000;2116000
251;1005506;2157094
252;1014048;2150568
253;1022626;2212991
254;1031240;2208276
255;1039890;2233290
256;1048576;2246656
257;1057812;2295781
258;1067088;2295684
259;1076404;2343691
260;1085760;2349360
261;1095156;2400156
262;1104592;2388392
263;1114068;2438010
264;1123584;2436720
265;1133140;2509815
266;1142736;2507316
267;1152372;2547180
268;1162048;2541712
269;1171764;2584552
270;1181520;2599020
271;1191316;2654716
272;1201152;2654176
273;1211028;2721264
274;1220944;2714244
275;1230900;2753025
276;1240896;2768280
277;1250932;2830663
278;1261008;2820588
279;1271124;2856123
280;1281280;2856000
281;1291476;2941508
282;1301712;2920392
283;1311988;2979141
284;1322304;2966664
285;1332660;3034680
286;1343056;3046472
287;1353492;3091564
288;1363968;3090816
289;1374484;3159637
290;1385040;3154620
291;1395636;3200418
292;1406272;3189808
293;1416948;3277498
294;1427664;3258696
295;1438420;3324945
296;1449216;3332960
297;1460052;3402729
298;1470928;3394816
299;1481844;3435510
300;1492800;3436800
301;1503796;3537352
302;1514832;3517092
303;1525908;3567219
304;1537024;3534912
305;1548180;3658475
306;1559376;3650580
307;1570612;3714700
308;1581888;3698464
309;1593204;3763311
310;1604560;3742940
311;1615956;3825922
312;1627392;3814512
313;1638868;3921890
314;1650384;3889832
315;1661940;3951675
316;1673536;3978440
317;1685172;4027168
318;1696848;3999804
319;1708564;4082243
320;1720320;4083200
321;1732116;4169790
322;1743952;4138988
323;1755828;4220964
324;1767744;4231440
325;1779700;4313075
326;1791696;4314936
327;1803732;4358583
328;1815808;4359120
329;1827924;4462885
330;1840080;4455000
331;1852276;4533707
332;1864512;4484656
333;1876788;4601727
334;1889104;4589828
335;1901460;4654155
336;1913856;4649568
337;1926292;4780345
338;1938768;4728620
339;1951284;4802952
340;1963840;4814400
341;1976436;4922676
342;1989072;4913172
343;2001748;4968012
344;2014464;4964608
345;2027220;5062875
346;2040016;5047448
347;2052852;5106799
348;2065728;5122560
349;2078644;5227322
350;2091600;5194000
351;2104596;5295888
352;2117632;5261696
353;2130708;5376896
354;2143824;5348940
355;2156980;5441440
356;2170176;5443952
357;2183412;5529216
358;2196688;5538976
359;2210004;5580655
360;2223360;5574240
361;2236756;5738817
362;2250192;5691364
363;2263668;5768433
364;2277184;5755568
365;2290740;5881610
366;2304336;5872104
367;2317972;5930720
368;2331648;5929952
369;2345364;6040161
370;2359120;6022120
371;2372916;6154519
372;2386752;6140976
373;2400628;6232457
374;2414544;6197928
375;2428500;6263625
376;2442496;6279200
377;2456532;6423326
378;2470608;6382152
379;2484724;6507430
380;2498880;6447840
381;2513076;6561582
382;2527312;6520740
383;2541588;6643518
384;2555904;6646272
385;2570260;6795250
386;2584656;6802092
387;2599092;6823584
388;2613568;6809400
389;2628084;6932369
390;2642640;6940440
391;2657236;7050121
392;2671872;7023072
393;2686548;7194651
394;2701264;7115640
395;2716020;7208750
396;2730816;7236504
397;2745652;7360777
398;2760528;7306484
399;2775444;7376313
400;2790400;7430400
401;2805396;7582108
402;2820432;7514988
403;2835508;7623954
404;2850624;7630752
405;2865780;7755750
406;2880976;7722932
407;2896212;7846553
408;2911488;7805856
409;2926804;8002494
410;2942160;7920380
411;2957556;8044092
412;2972992;8004336
413;2988468;8140643
414;3003984;8145036
415;3019540;8236505
416;3035136;8240960
417;3050772;8377530
418;3066448;8323216
419;3082164;8456258
420;3097920;8448720
421;3113716;8650287
422;3129552;8550564
423;3145428;8627931
424;3161344;8620768
425;3177300;8801750
426;3193296;8825016
427;3209332;8887151
428;3225408;8880144
429;3241524;8977254
430;3257680;9021400
431;3273876;9101858
432;3290112;9068544
433;3306388;9285685
434;3322704;9215556
435;3339060;9348585
436;3355456;9334760
437;3371892;9446629
438;3388368;9459048
439;3404884;9575907
440;3421440;9535680
441;3438036;9725814
442;3454672;9696596
443;3471348;9788528
444;3488064;9775104
445;3504820;9936850
446;3521616;9880684
447;3538452;10001625
448;3555328;9978752
449;3572244;10178830
450;3589200;10115100
451;3606196;10313017
452;3623232;10261304
453;3640308;10404957
454;3657424;10370268
455;3674580;10455445
456;3691776;10552752
457;3709012;10691515
458;3726288;10633844
459;3743604;10699290
460;3760960;10738240
461;3778356;10917402
462;3795792;10881024
463;3813268;11041161
464;3830784;10961536
465;3848340;11179530
466;3865936;11086140
467;3883572;11218741
468;3901248;11207664
469;3918964;11435627
470;3936720;11425700
471;3954516;11514066
472;3972352;11444112
473;3990228;11663707
474;4008144;11721072
475;4026100;11792350
476;4044096;11860968
477;4062132;11906397
478;4080208;11851532
479;4098324;11963983
480;4116480;11960640
481;4134676;12252994
482;4152912;12208096
483;4171188;12305874
484;4189504;12357488
485;4207860;12448010
486;4226256;12483396
487;4244692;12604047
488;4263168;12578688
489;4281684;12768279
490;4300240;12730200
491;4318836;12886786
492;4337472;12847104
493;4356148;13067951
494;4374864;13022828
495;4393620;13105620
496;4412416;13188640
497;4431252;13338486
498;4450128;13299588
499;4469044;13456533
500;4488000;13354000
501;4506996;13571589
502;4526032;13555004
503;4545108;13638342
504;4564224;13645296
505;4583380;13947090
506;4602576;13923096
507;4621812;13969878
508;4641088;13986256
509;4660404;14099809
510;4679760;14132100
511;4699156;14330484
512;4718592;14254080
513;4739094;14474295
514;4759640;14402280
515;4780230;14543085
516;4800864;14591448
517;4821542;14800159
518;4842264;14744352
519;4863030;14870907
520;4883840;14830400
521;4904694;15144949
522;4925592;15104592
523;4946534;15232898
524;4967520;15233728
525;4988550;15377775
526;5009624;15413904
527;5030742;15436357
528;5051904;15554880
529;5073110;15767374
530;5094360;15735700
531;5115654;15859377
532;5136992;15801464
533;5158374;16073148
534;5179800;15997572
535;5201270;16171980
536;5222784;16096080
537;5244342;16392999
538;5265944;16289564
539;5287590;16447046
540;5309280;16601760
541;5331014;16793181
542;5352792;16643736
543;5374614;16789017
544;5396480;16766080
545;5418390;17097195
546;5440344;17041752
547;5462342;17257303
548;5484384;17232408
549;5506470;17338518
550;5528600;17358000
551;5550774;17579104
552;5572992;17469696
553;5595254;17791116
554;5617560;17711380
555;5639910;17855460
556;5662304;17839816
557;5684742;18022292
558;5707224;18020052
559;5729750;18206630
560;5752320;18232480
561;5774934;18466998
562;5797592;18433600
563;5820294;18501869
564;5843040;18486792
565;5865830;18777210
566;5888664;18784408
567;5911542;18817596
568;5934464;18905312
569;5957430;19107020
570;5980440;19064220
571;6003494;19370604
572;6026592;19159712
573;6049734;19475697
574;6072920;19313952
575;6096150;19624750
576;6119424;19611648
577;6142742;19895537
578;6166104;19768756
579;6189510;19985343
580;6212960;19903280
581;6236454;20218800
582;6259992;20219844
583;6283574;20319299
584;6307200;20413136
585;6330870;20584980
586;6354584;20585008
587;6378342;20590786
588;6402144;20698776
589;6425990;21017876
590;6449880;20952080
591;6473814;21105792
592;6497792;21018368
593;6521814;21403149
594;6545880;21240252
595;6569990;21539595
596;6594144;21551360
597;6618342;21663339
598;6642584;21542352
599;6666870;21830555
600;6691200;21819600
601;6715574;22288085
602;6739992;22033200
603;6764454;22256730
604;6788960;22155928
605;6813510;22490270
606;6838104;22544412
607;6862742;22569474
608;6887424;22613952
609;6912150;22922151
610;6936920;22862800
611;6961734;23114741
612;6986592;23099328
613;7011494;23398210
614;7036440;23221480
615;7061430;23432730
616;7086464;23432640
617;7111542;23699587
618;7136664;23621196
619;7161830;23855641
620;7187040;23793120
621;7212294;24117156
622;7237592;24011688
